pickup_date,count,holiday,weekday
2016-10-25,786753,0,1
2016-10-26,816335,0,2
2016-10-27,898303,0,3
2016-10-28,925993,0,4
2016-10-29,970219,0,5
2016-10-30,862452,0,6
2016-10-31,718070,0,0
2016-11-01,777424,0,1
2016-11-02,768727,0,2
2016-11-03,845859,0,3
2016-11-04,881084,0,4
2016-11-05,922576,0,5
2016-11-06,771867,0,6
2016-11-07,725181,0,0
2016-11-08,713278,1,1
2016-11-09,804959,0,2
2016-11-10,814575,0,3
2016-11-11,862783,1,4
2016-11-12,920883,0,5
2016-11-13,798465,0,6
2016-11-14,706394,0,0
2016-11-15,801804,0,1
2016-11-16,770769,0,2
2016-11-17,812606,0,3
2016-11-18,859103,0,4
2016-11-19,920538,0,5
2016-11-20,832529,0,6
2016-11-21,775032,0,0
2016-11-22,812024,0,1
2016-11-23,794139,0,2
2016-11-24,622425,1,3
2016-11-25,618984,0,4
2016-11-26,722444,0,5
2016-11-27,689524,0,6
2016-11-28,698700,0,0
2016-11-29,818233,0,1
2016-11-30,824426,0,2
2016-12-01,853778,0,3
2016-12-02,933130,0,4
2016-12-03,982591,0,5
2016-12-04,843121,0,6
2016-12-05,774667,0,0
2016-12-06,854398,0,1
2016-12-07,840848,0,2
2016-12-08,899962,0,3
2016-12-09,995468,0,4
2016-12-10,1035555,0,5
2016-12-11,860190,0,6
2016-12-12,782286,0,0
2016-12-13,812613,0,1
2016-12-14,873030,0,2
2016-12-15,1004321,0,3
2016-12-16,1048840,0,4
2016-12-17,991355,0,5
2016-12-18,858221,0,6
2016-12-19,812946,0,0
2016-12-20,825002,0,1
2016-12-21,819846,0,2
2016-12-22,811450,0,3
2016-12-23,776935,0,4
2016-12-24,684594,0,5
2016-12-25,503611,1,6
2016-12-26,513327,1,0
2016-12-27,592257,0,1
2016-12-28,656778,0,2
2016-12-29,713198,0,3
2016-12-30,768758,0,4
2016-12-31,806539,0,5
2017-01-01,777422,1,6
2017-01-02,574369,1,0
2017-01-03,693958,0,1
2017-01-04,692373,0,2
2017-01-05,770044,0,3
2017-01-06,842106,0,4
2017-01-07,799381,0,5
2017-01-08,762176,0,6
2017-01-09,764274,0,0
2017-01-10,746793,0,1
2017-01-11,767592,0,2
2017-01-12,784982,0,3
2017-01-13,862687,0,4
2017-01-14,907527,0,5
2017-01-15,796636,0,6
2017-01-16,651636,1,0
2017-01-17,813287,0,1
2017-01-18,776987,0,2
2017-01-19,802039,0,3
2017-01-20,870474,0,4
2017-01-21,841483,0,5
2017-01-22,758089,0,6
2017-01-23,792408,0,0
2017-01-24,830735,0,1
2017-01-25,789339,0,2
2017-01-26,836026,0,3
2017-01-27,909802,0,4
2017-01-28,948344,0,5
2017-01-29,789731,0,6
2017-01-30,717117,0,0
2017-01-31,768108,0,1
2018-01-18,1016489,0,3
2017-02-01,783961,0,2
2017-02-02,845968,0,3
2017-02-03,946387,0,4
2017-02-04,967628,0,5
